cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Salary,Social Acceptance,flaxible Work Life Balanced,Other.1,Abroad,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Gaming,ML/AI Engineer,Networking,Other,Researcher,Software Development,Teaching
3.3,1,1,3,3,2,2,3,2,2,3,3,3,2,1,1,2,0,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3.51,1,1,1,2,2,2,1,1,1,2,2,2,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.48,2,1,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.48,2,2,3,3,2,3,3,2,1,3,3,3,1,2,1,1,0,3,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
3.22,2,2,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.85,3,3,2,1,2,3,3,1,1,2,2,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.41,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.2742857142857145,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3.0,1,1,2,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.1,2,3,1,1,2,3,1,1,1,2,1,2,1,1,1,1,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
3.3,2,3,3,2,2,2,2,1,2,2,1,2,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3.4,1,0,1,2,2,1,2,1,1,2,2,2,2,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3.21,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3.5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.24,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.85,3,2,3,3,0,0,0,3,2,2,2,2,0,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
3.39,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,0,4,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3.0,1,1,2,3,2,1,2,1,3,0,1,1,1,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.74,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,1,0,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2.8,2,2,2,2,2,1,2,1,1,2,3,2,1,1,2,2,0,3,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
3.0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,0,4,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
2.8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3.42,2,1,2,1,2,2,2,1,3,2,2,2,1,1,1,1,7,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3.43,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,0,4,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
3.5,2,3,2,1,2,2,3,2,3,3,3,2,2,3,2,1,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.83,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.6,3,2,3,1,2,2,3,2,1,2,2,2,2,2,1,2,0,4,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
3.0,3,3,3,2,2,3,2,3,1,1,1,1,0,2,0,2,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
3.0,2,1,1,1,0,2,2,1,1,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.25,2,2,1,1,2,3,3,1,2,1,2,2,1,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2.87,2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3.82,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.46,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.21,2,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,0,11,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.75,3,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2742857142857145,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3.49,1,1,1,1,1,2,3,1,3,2,2,1,1,1,1,1,0,6,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.55,3,3,0,3,3,3,3,2,3,1,0,1,1,2,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.85,2,2,2,2,1,1,2,2,1,1,1,2,1,2,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.11,3,3,3,2,0,3,3,2,3,0,2,1,1,1,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.98,3,3,3,2,3,3,3,2,3,2,2,2,1,2,2,1,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.8,3,3,3,2,2,2,1,3,1,2,2,2,1,3,3,3,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.5,3,3,3,1,3,3,3,2,3,2,2,1,1,1,1,1,1,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3.1,3,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,0,5,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2.89,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,0,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.92,2,2,2,3,2,2,3,1,3,2,2,1,1,2,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.08,3,2,2,3,2,2,2,2,3,3,2,2,1,2,2,2,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.7,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.39,2,1,2,2,2,2,1,2,1,1,2,2,0,2,1,2,0,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
2.76,2,1,2,2,2,2,2,3,2,2,1,1,1,2,1,1,0,4,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2.95,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.0,1,1,2,3,2,2,3,2,3,1,2,2,1,2,2,1,2,6,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0
3.83,2,1,3,2,1,1,2,2,1,1,1,1,1,1,1,3,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.18,2,2,1,1,2,2,3,2,1,2,2,3,2,2,1,1,0,4,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
