,Personal Info,,,,,,soft_skills,,,,academic skills,,,,,,,,,,,,,,Influencing Factor,Prefer Job
Date,name,e-mail,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security,Maching Learning,Robotics,Research Skill,publication,project,Influencing Factor,Prefer Job
2024-04-24 21:04,,,Female,4th,3.96,United International University (UIU),Advance,Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Advance,Basic,Intermediate,1,5,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
2024-04-24 21:12,,,Female,2nd,3.67,United International University (UIU),Intermediate,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Advance,0,0,flaxible Work Life Balanced,Software Development
2024-04-24 21:40,,,Male,4th,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,1,Salary,Software Development
2024-04-24 22:39,,,Male,4th,3.41,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,,Intermediate,Basic,Intermediate,2,5,,
2024-04-24 22:51,,,Female,2nd,2.83,United International University (UIU),Intermediate,Basic,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,1,"Job Security,Job Environment,flaxible Work Life Balanced","Cyber Security,Business,Abroad"
2024-04-25 00:18,,,Male,2nd,2.98,"Independent University, Bangladesh (IUB)",Basic,Intermediate,Advance,Intermediate,Basic,Intermediate,Basic,Advance,Basic,Basic,Basic,Basic,Intermediate,Intermediate,,Intermediate,1,1,"Job Security,Job Environment","Software Development,Cyber Security,Data Analysis,Management"
2024-04-25 00:23,,,Male,3rd,3.01,"Independent University, Bangladesh (IUB)",Basic,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Intermediate,Basic,1,2,"Social Acceptance,Job Security","Software Development,Networking,Cyber Security,Data Analysis"
2024-04-25 00:31,,,Male,2nd,3.16,American International University-Bangladesh (AIUB),Basic,Intermediate,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,1,1,"Social Acceptance,Job Security","Software Development,Cyber Security,Data Analysis"
2024-04-25 00:38,,,Male,4th,2.92,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Intermediate,2,2,Social Acceptance,Software Development
2024-04-25 00:40,,,Male,4th,3.22,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Intermediate,1,1,flaxible Work Life Balanced,Abroad
2024-04-25 09:16,,,Female,1st,1.6,United International University (UIU),Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,Basic,,,1,"Job Environment,Salary",ML/AI Engineer
2024-04-25 10:49,,,Male,4th,3.4,Comilla University (CoU),Intermediate,Advance,Intermediate,Basic,Basic,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,1,"Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
2024-04-25 13:22,,,Male,4th,3.55,Faridpur Engineering College,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,"Salary,flaxible Work Life Balanced","Software Development,Teaching,Govt Job"
2024-04-25 13:55,,,Male,2nd,3.33,United International University (UIU),Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,0,2,Salary,Software Development
2024-04-25 14:49,,,Male,4th,3.33,Faridpur Engineering College,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,2,,"Software Development,Data Analysis"
2024-04-25 14:53,,,Male,2nd,3.17,Comilla University (CoU),Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Intermediate,Basic,Intermediate,Basic,Basic,,Basic,Basic,,1,Social Acceptance,"Bank Job,Govt Job"
2024-04-25 17:31,,,Male,4th,3.57,Comilla University (CoU),Intermediate,Advance,Advance,Advance,Advance,Advance,Intermediate,Basic,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,0,6,"Salary,Job Environment",Software Development
2024-04-25 20:43,,,Female,2nd,3.79,Comilla University (CoU),Advance,Intermediate,Advance,Advance,Basic,Intermediate,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,,0,Salary,Researcher
2024-04-25 20:46,,,Female,2nd,3.52,Comilla University (CoU),Intermediate,Intermediate,Intermediate,Basic,Basic,Advance,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,0,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching"
2024-04-25 21:02,,,Female,1st,3.59,Comilla University (CoU),Intermediate,Intermediate,Intermediate,Intermediate,,Basic,Basic,,Basic,,Basic,,,,,,,,"Job Environment,Salary,flaxible Work Life Balanced","Teaching,Abroad"
2024-04-25 21:23,,,Female,1st,3.6,Comilla University (CoU),Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,,Basic,,,Basic,,,0,"Salary,flaxible Work Life Balanced",Business
2024-04-25 21:38,,,Male,3rd,3.54,Comilla University (CoU),Intermediate,Basic,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,0,Social Acceptance,"Software Development,Data Analysis,ML/AI Engineer,Abroad"
2024-04-25 21:39,,,Female,1st,3.47,Comilla University (CoU),Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,,,,,,,,,,,1,"Job Environment,Salary",Software Development
2024-04-25 22:15,,,Female,2nd,3.5,Comilla University (CoU),Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,0,"Salary,flaxible Work Life Balanced",Business
2024-04-25 22:41,,,Male,4th,3.2,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,1,4,Job Environment,Software Development
2024-04-25 23:50,,,Male,2nd,3.64,Comilla University (CoU),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,,0,2,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security,Researcher"
2024-04-26 05:37,,,Male,4th,3.7,Comilla University (CoU),Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,Basic,,3,"Social Acceptance,Job Environment",Abroad
2024-04-26 08:02,,,Male,4th,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,,Basic,Basic,,0,3,"Job Security,Social Acceptance",Govt Job
2024-04-26 11:22,,,Female,2nd,3.84,Comilla University (CoU),Intermediate,Intermediate,Advance,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,Job Security,Software Development
2024-04-26 20:52,,,Male,2nd,3.08,American International University-Bangladesh (AIUB),Basic,Intermediate,Basic,Basic,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,,1,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
2024-04-26 20:58,,,Male,2nd,3.25,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Intermediate,1,3,Job Environment,Abroad
2024-04-26 21:31,,,Male,2nd,3.56,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,10,"Job Environment,Salary,flaxible Work Life Balanced",Software Development
2024-04-26 23:20,,,Male,2nd,3,American International University-Bangladesh (AIUB),Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,,0,3,Job Security,Other
2024-04-27 01:06,,,Male,2nd,3.2,American International University-Bangladesh (AIUB),Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,0,4,,
2024-04-27 01:07,,,Male,2nd,3.4,American International University-Bangladesh (AIUB),Advance,Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,,Basic,,,,1,"Salary,flaxible Work Life Balanced",Management
2024-04-27 10:59,,,Male,4th,2.88,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Advance,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Basic,Basic,Basic,Basic,Basic,0,2,"Salary,Job Environment",Software Development
2024-04-27 14:45,,,Male,4th,3.73,Daffodil International University (DIU),Intermediate,Intermediate,Intermediate,Advance,Intermediate,Advance,Advance,Basic,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,"Salary,Job Environment",Software Development
2024-04-28 11:09,,,Male,2nd,3.65,American International University-Bangladesh (AIUB),Basic,Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Advance,Basic,,Intermediate,Intermediate,Basic,Basic,,0,2,"Job Security,Job Environment,Salary","Software Development,Cyber Security"
2024-04-29 00:21,,,Male,2nd,3.55,American International University-Bangladesh (AIUB),Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,,Basic,Intermediate,1,2,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
2024-04-29 00:23,,,Male,2nd,3.22,American International University-Bangladesh (AIUB),Basic,Intermediate,Basic,Basic,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,2,3,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
2024-04-29 00:27,,,Male,2nd,,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Intermediate,Advance,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,,,
2024-04-29 09:07,,,Male,4th,3.2,"Bangabandhu Sheikh Mujibur Rahman Science & Technology University, Pirojpur (BSMRSTUP)",Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,,
2024-04-29 09:26,,,Male,4th,3.15,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Basic,Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Basic,Intermediate,Intermediate,0,4,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
